Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,is_alive,age,is_in_age_range
7cd8a8ad-746b-549e-e70d-0c0feb8ebc69,1977-03-26,,999-44-6098,S99984812,X13556364X,Mr.,Abel832,Kip442,Wolff180,,,M,white,nonhispanic,M,Barnstable  Massachusetts  US,836 Trantow Alley Apt 1,Lawrence,Massachusetts,Essex County,25009,01840,42.714452989877024,-71.11635245655867,385692.86,386366.59,49089,True,48.98015058179329,True
92683f03-a77a-0f78-b618-266ad9a301be,1947-10-05,,999-73-3704,S99922086,X87581797X,Mr.,Agustín529,Teodoro374,Malave728,,,S,white,hispanic,M,Gaudalajara  Jalisco  MX,535 McClure Course,Athol,Massachusetts,Worcester County,25027,01331,42.58284486157586,-72.23388897204286,161918.38,100578.49,33778,True,78.45311430527036,True
d9cb8493-3e3a-a1ea-3462-3171a027da8c,1975-11-05,,999-67-4853,S99929026,X35554777X,Mr.,Alden634,Samual455,Rutherford999,,,S,white,nonhispanic,M,Saugus  Massachusetts  US,678 Strosin Station,Attleboro,Massachusetts,Bristol County,44007,02861,41.937023596723606,-71.2575283736891,24135.82,517220.70,18896,True,50.36824093086927,True
274413e8-c95f-c321-f0f9-64e5ce1b6a1a,1964-10-09,,999-93-9350,S99985119,X12226328X,Ms.,Alexa171,,Nicolas769,,,S,black,nonhispanic,F,Upton  Massachusetts  US,770 Jast Port Apt 51,Milford,Massachusetts,Worcester County,25027,01757,42.15346700187044,-71.57135979028433,16385.48,498936.93,8732,True,61.440109514031484,True
61f0d3ca-b4c9-52e3-eef6-e52d42080cdd,1971-03-10,,999-45-1720,S99964398,X83073000X,Mrs.,Ana972,Marcia467,Jacobs452,,Nikolaus26,M,white,nonhispanic,F,North Westport  Massachusetts  US,140 Cremin Forge,Everett,Massachusetts,Middlesex County,25017,02149,42.45488241408051,-71.06342593357891,197889.69,867235.37,29507,True,55.02532511978097,True
affb0758-feb8-4754-2fc9-15b54d6b398b,1954-11-23,,999-51-9321,S99987148,X21316501X,Mrs.,Analisa263,,Cruickshank494,,Connelly992,M,white,nonhispanic,F,Lynnfield  Massachusetts  US,725 Schmidt Trace Suite 84,Norwell,Massachusetts,Plymouth County,,00000,42.13108357165994,-70.82250059748779,201837.57,1743867.74,632512,True,71.31827515400411,True
05880a71-6004-727f-a81b-85a1508160a5,1972-11-19,,999-75-5135,S99977976,X38061335X,Ms.,Angelic427,,West559,,,S,black,nonhispanic,F,Lowell  Massachusetts  US,826 Monahan Lock,Boston,Massachusetts,Suffolk County,25017,02467,42.365348405526476,-71.02813454697036,304257.41,636632.07,196217,True,53.327857631759066,True
45a26c1a-25cc-7898-f858-84d05f2d79e0,1949-08-01,,999-18-3541,S99929864,X41619472X,Mrs.,Angie214,Vanna750,Rodriguez71,,Buckridge80,D,white,nonhispanic,F,Worcester  Massachusetts  US,730 Kuvalis View Unit 13,North Scituate,Massachusetts,Plymouth County,25023,02060,42.25630915443522,-70.71682887647938,13765.69,504233.62,11829,True,76.62970568104038,True
08a12ee7-a852-94d4-61fd-b2e16b209205,1947-06-02,,999-71-2136,S99931593,X62046945X,Mr.,Aron520,Sid118,Brekke496,,,M,white,nonhispanic,M,Acushnet  Massachusetts  US,568 Kunde Divide,Pembroke,Massachusetts,Plymouth County,,00000,42.10476327019438,-70.8519575113763,14226.61,254063.50,22006,True,78.79534565366187,True
2133cc41-d2d7-9f54-a5bd-346b5709303b,1974-01-11,,999-30-6059,S99965409,X41805871X,Ms.,Athena83,,Schmeler639,,,S,white,hispanic,F,Cambridge  Massachusetts  US,1012 Keeling Estate Apt 40,Ludlow,Massachusetts,Hampden County,,00000,42.13853438090723,-72.47116668109169,743432.37,639387.14,40680,True,52.18343600273785,True
dd26b5b1-149f-b3a0-742b-a7f252d39c84,1949-09-01,,999-48-9774,S99936251,X16024377X,Mr.,Augustus49,Mohamed943,Herzog843,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,636 Keeling Crossroad Unit 18,Gloucester,Massachusetts,Essex County,25009,01930,42.642928323883346,-70.70281807210336,102660.74,184259.32,38729,True,76.5448323066393,True
0c77f232-d1be-55d2-ceba-2cb48e99c48a,1979-01-07,,999-59-4607,S99998247,X3153294X,Mr.,Avery919,Clifton91,Gislason620,,,S,other,nonhispanic,M,Brockton  Massachusetts  US,100 Armstrong Mission Unit 36,Boston,Massachusetts,Suffolk County,25025,02113,42.29003408633601,-71.06579505346932,149486.01,18263.30,58259,True,47.19507186858316,True
7330dd69-c250-52af-f206-0cd7b6e4574f,1952-11-09,,999-33-9373,S99911502,X23484624X,Ms.,Babara869,Adrianne466,Shields502,,,S,white,nonhispanic,F,Brockton  Massachusetts  US,841 King Ferry,Topsfield,Massachusetts,Essex County,25009,01983,42.63359282265269,-70.96486570328113,1049284.87,602220.94,89924,True,73.35523613963039,True
